Organization Name,Organization Name URL,Headquarters Location,Industries,Website,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Founded Date,Founded Date Precision,Industry Groups,Stock Symbol,Stock Symbol URL,Stock Exchange,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Investor Type,Investment Stage
Shenzhen Yinghe Technology,https://www.crunchbase.com/organization/shenzhen-yinghe-technology,"Nanshanqu, Guangdong, China","Electronics, Manufacturing, Sales Automation",http://www.yhwins.com/,,,,,2006-06-26,day,"Consumer Electronics, Hardware, Information Technology, Manufacturing, Sales and Marketing, Software",300457,https://www.crunchbase.com/ipo/shenzhen-yinghe-technology-ipo--f662a5de,SZSE - Shenzhen Stock Exchange,,,,,,,,
Xi'an ChenXi Aviation Technology,https://www.crunchbase.com/organization/xi-an-chenxi-aviation-technology,"Changan, Shaanxi, China","Aerospace, Manufacturing, Military",http://www.cxaviatech.com/,,,,,2000-02-24,day,"Government and Military, Information Technology, Manufacturing, Science and Engineering",300581,https://www.crunchbase.com/ipo/xi-an-chenxi-aviation-technology-ipo--ca8e2a70,SZSE - Shenzhen Stock Exchange,,,,,,,,
Wuxi Hodgen Technology,https://www.crunchbase.com/organization/wuxi-hodgen-technology,"Wuxi, Anhui, China","Industrial Manufacturing, Machinery Manufacturing, Manufacturing, Retail Technology",http://www.hodgen-china.com/,,,,,1998-08-14,day,"Commerce and Shopping, Hardware, Manufacturing, Software",300279,https://www.crunchbase.com/ipo/wuxi-hodgen-technology-ipo--2ca144ae,SZSE - Shenzhen Stock Exchange,,,,,,,,
Hangzhou Pinming Software,https://www.crunchbase.com/organization/hangzhou-pinming-software,"Hangzhou, Zhejiang, China","Construction, Information Technology, Network Security, Security, Software",https://www.pinming.cn/,,,,,2011-01-01,year,"Information Technology, Privacy and Security, Real Estate, Software",688109,https://www.crunchbase.com/ipo/hangzhou-pinming-software-ipo--e8513769,SSE - Shanghai Stock Exchange,,,,,,,,
Shenzhen Securities Information,https://www.crunchbase.com/organization/shenzhen-securities-information,"Shenzhen, Guangdong, China","Cyber Security, Network Security, Security",http://www.cninfo.com.cn/new/index,,,,,1996-01-01,day,"Information Technology, Privacy and Security",002366,https://www.crunchbase.com/ipo/shenzhen-securities-information-ipo--3e1663d9,SZSE - Shenzhen Stock Exchange,,,,,,,,
China Nuclear Engineering,https://www.crunchbase.com/organization/china-nuclear-engineering,"Beijing, Beijing, China","Mechanical Engineering, Military, Nuclear",http://www.cnecc.com/,,,,,2010-12-21,day,"Government and Military, Information Technology, Science and Engineering",601611,https://www.crunchbase.com/ipo/china-nuclear-engineering-ipo--ab1ebd5c,SSE - Shanghai Stock Exchange,,,,,,,,
OneCloud,https://www.crunchbase.com/organization/onecloud,"Guangzhou, Guangdong, China","Cloud Computing, Cloud Security, Information Technology",https://www.onecloud.cn/,,,,,2009-07-13,day,"Information Technology, Internet Services, Privacy and Security, Software",839328,https://www.crunchbase.com/ipo/onecloud-ipo--2678db49,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Beijing E-techstar,https://www.crunchbase.com/organization/beijing-e-techstar,"Haidian, Beijing, China","Electrical Distribution, Information Technology, Technical Support",http://www.techstar.com.cn/,,,,,2000-06-27,day,"Energy, Information Technology, Other",300513,https://www.crunchbase.com/ipo/beijing-e-techstar-ipo--4fc7bbd1,SZSE - Shenzhen Stock Exchange,,,,,,,,
Tiandi Online,https://www.crunchbase.com/organization/372163-com,"Beijing, Beijing, China","Advertising, Internet, Marketing, SaaS",http://www.372163.com/,3000000,CNY,493257,1,2005-12-30,day,"Advertising, Internet Services, Sales and Marketing, Software",002995,https://www.crunchbase.com/ipo/372163-com-ipo--38aebb26,SZSE - Shenzhen Stock Exchange,,,,,,,,
DigiwinSoft,https://www.crunchbase.com/organization/digiwinsoft,"Shanghai, Shanghai, China","Enterprise Software, IT Management, Service Industry, Software",http://www.digiwin.com.cn/,10000000,USD,10000000,1,2003-01-01,year,"Information Technology, Other, Software",300378,https://www.crunchbase.com/ipo/digiwinsoft-ipo--7920ed71,SZSE - Shenzhen Stock Exchange,,,,,,,,
edensoft,https://www.crunchbase.com/organization/edensoft,"Futian, Guangdong, China","Information Services, IT Infrastructure, Software",http://www.edensoft.com.cn,,,,,2002-11-21,day,"Information Technology, Software",01147,https://www.crunchbase.com/ipo/edensoft-ipo--4233a594,HKG - Hong Kong Stock Exchange,,,,,,,,
Bingosoft,https://www.crunchbase.com/organization/pingao-software,"Guangzhou, Guangdong, China","Cloud Computing, Consulting, Professional Services, Software",https://www.bingosoft.net,,,,,2003-01-01,year,"Internet Services, Other, Professional Services, Software",688227,https://www.crunchbase.com/ipo/pingao-software-ipo--12fc6044,SSE - Shanghai Stock Exchange,917200000,CNY,143917402,,,,,
Epoint,https://www.crunchbase.com/organization/epoint-6916,"Suzhou, Jiangsu, China","Big Data, Information Technology, SaaS, Software",http://www.epoint.com.cn/,,,,,1998-10-01,month,"Data and Analytics, Information Technology, Software",688232,https://www.crunchbase.com/ipo/epoint-6916-ipo--31f4bf04,SSE - Shanghai Stock Exchange,4000000000,CNY,627155848,,,,,
Shanghai Moons' Electric,https://www.crunchbase.com/organization/shanghai-moons-electric,"Minhang, Shanghai, China","Electronics, Industrial Automation, Manufacturing, Sales Automation",http://www.moons.com.cn,,,,,1994-01-01,day,"Consumer Electronics, Hardware, Information Technology, Manufacturing, Sales and Marketing, Science and Engineering, Software",603728,https://www.crunchbase.com/ipo/shanghai-moons-electric-ipo--f0bb8abc,SSE - Shanghai Stock Exchange,,,,,,,,
Guangdong Yizumi Precision Machinery,https://www.crunchbase.com/organization/guangdong-yizumi-precision-machinery-co-ltd,"Guangdong, Jilin, China","Hardware, Manufacturing, Virtual Reality",https://rim.yizumi.com/,,,,,2002-04-13,day,"Hardware, Manufacturing, Software",300415,https://www.crunchbase.com/ipo/guangdong-yizumi-precision-machinery-co-ltd-ipo--9f1566a6,SZSE - Shenzhen Stock Exchange,,,,,,,,
"Shanghai Xianjian Culture Media Co., Ltd",https://www.crunchbase.com/organization/shanghai-xianjian-culture-media-co-ltd,"Minhang, Shanghai, China","Augmented Reality, Education, Publishing",http://www.xianjianbook.com/,,,,,2005-06-22,day,"Content and Publishing, Education, Hardware, Media and Entertainment, Software",831643,https://www.crunchbase.com/ipo/shanghai-xianjian-culture-media-co-ltd-ipo--80ce8dbc,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Jihua Group,https://www.crunchbase.com/organization/jihua-group,"Beijing Shi, Beijing, China","Asset Management, Manufacturing, Military, Textiles",http://www.jihuachina.com,,,,,2006-08-04,day,"Financial Services, Government and Military, Information Technology, Manufacturing",601718,https://www.crunchbase.com/ipo/jihua-group-ipo--245c271a,SSE - Shanghai Stock Exchange,,,,,,,,
Shanghai AtHub,https://www.crunchbase.com/organization/shanghai-athub,"Shanghai, Shanghai, China",Data Center,http://www.athub.com,,,,,2009-11-18,day,"Hardware, Information Technology",603881,https://www.crunchbase.com/ipo/shanghai-athub-ipo--e913aea6,SSE - Shanghai Stock Exchange,,,,,,,,
Invengo Information Technology,https://www.crunchbase.com/organization/shenzhen-invengo-information-technology-co-ltd,"Shenzhen, Guangdong, China","Enterprise Software, Information Technology, RFID",http://www.invengo.cn,10129155,USD,10129155,2,1999-01-01,year,"Hardware, Information Technology, Software",002161,https://www.crunchbase.com/ipo/shenzhen-invengo-information-technology-co-ltd-ipo--05c02574,SZSE - Shenzhen Stock Exchange,,,,,,,,
Jinfu Technology,https://www.crunchbase.com/organization/suzhou-jinfu-technology-co,"Suzhou, Jiangsu, China","Cloud Computing, Electronics, Information Technology, Internet of Things, Manufacturing",http://www.jin-fu.cn/,,,,,2004-03-29,day,"Consumer Electronics, Hardware, Information Technology, Internet Services, Manufacturing, Software",300128,https://www.crunchbase.com/ipo/suzhou-jinfu-technology-co-ipo--6d613d4d,SZSE - Shenzhen Stock Exchange,,,,,,,,
NNK Group Limited,https://www.crunchbase.com/organization/nnk-group-limited,"Shenzhen, Guangdong, China","Customer Service, Mobile, Transaction Processing",http://www.007ka.cn,,,,,2014-06-18,day,"Financial Services, Mobile, Other, Payments, Professional Services, Software",3773,https://www.crunchbase.com/ipo/nnk-group-limited-ipo--b983b125,HKG - Hong Kong Stock Exchange,88000000,CNY,13390955,,,,,
Beijing Topnew Info&Tech,https://www.crunchbase.com/organization/beijing-topnew-info-tech,"Beijing, Beijing, China","Information Technology, Network Security, Technical Support",http://www.topnewinfo.cn,,,,,2005-09-21,day,"Information Technology, Other, Privacy and Security",300895,https://www.crunchbase.com/ipo/beijing-topnew-info-tech-ipo--fc6e5599,SZSE - Shenzhen Stock Exchange,307000000,CNY,44957312,,,,,
HONGYE TECHNOLOGY,https://www.crunchbase.com/organization/hongye-technology,"Yanshi, Henan, China","Construction, Information Technology, Software, Software Engineering",http://bim.hongye.com.cn/,,,,,1992-01-01,day,"Information Technology, Real Estate, Science and Engineering, Software",831585,https://www.crunchbase.com/ipo/hongye-technology-ipo--5a78a578,NEEQ - National Equities Exchange and Quotations,,,,,,,,
360 DigiTech,https://www.crunchbase.com/organization/360-digitech,"Beijing, Beijing, China","Database, Internet, Software",https://www.360jinrong.net/,,,,,,,"Data and Analytics, Internet Services, Software",3660,https://www.crunchbase.com/ipo/360-digitech-ipo--69f3a153,HKG - Hong Kong Stock Exchange,,,,,,,,
Guanglian Aviation Industry,https://www.crunchbase.com/organization/guanglian-aviation-industry,"Harbin, Heilongjiang, China","Aerospace, Air Transportation, Manufacturing, Military",http://www.guanglianhangkong.com,,,,,2011-02-25,day,"Government and Military, Information Technology, Manufacturing, Science and Engineering, Transportation",300900,https://www.crunchbase.com/ipo/guanglian-aviation-industry-ipo--21469f2b,SZSE - Shenzhen Stock Exchange,,,,,,,,
Ruirong Tianxia,https://www.crunchbase.com/organization/ruirong-tianxia,"Haidian, Beijing, China","Credit Cards, Financial Services, Information Technology, Mobile Payments",http://www.bjrrtx.com/,,,,,2011-09-15,day,"Financial Services, Information Technology, Lending and Investments, Mobile, Payments, Software",833373,https://www.crunchbase.com/ipo/ruirong-tianxia-ipo--3cc6e78f,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Celnet Technology,https://www.crunchbase.com/organization/celnet-technology,"Beijing, Beijing, China","Cloud Computing, CRM, Information Technology, Software",http://www.celnet.com.cn/,,,,,2012-04-19,day,"Information Technology, Internet Services, Sales and Marketing, Software",837605,https://www.crunchbase.com/ipo/celnet-technology-ipo--70bf2b91,NEEQ - National Equities Exchange and Quotations,,,,,,,,
HONGXIN TECHNOLOGY,https://www.crunchbase.com/organization/hongxin-technology,"Chengdu, Sichuan, China","Data Integration, Information Services, Smart Cities",http://www.homxin.com/,,,,,2009-12-16,day,"Data and Analytics, Information Technology, Real Estate, Software",838063,https://www.crunchbase.com/ipo/hongxin-technology-ipo--6ec01908,NEEQ - National Equities Exchange and Quotations,,,,,,,,
NSW88.COM,https://www.crunchbase.com/organization/www-nsw88-com,"Shenzhen, Guangdong, China","Advertising, Digital Marketing, E-Commerce, Marketing, Web Development",http://www.nsw88.com/,,,,,2008-04-22,day,"Advertising, Commerce and Shopping, Sales and Marketing, Software",830770,https://www.crunchbase.com/ipo/www-nsw88-com-ipo--ecb38fb7,NEEQ - National Equities Exchange and Quotations,,,,,,,,
ANYK,https://www.crunchbase.com/organization/anyk,"Shenzhen, Guangdong, China","Network Security, Smart Home, Telecommunications",http://anyk.com/,,,,,2008-01-01,day,"Consumer Electronics, Hardware, Information Technology, Privacy and Security, Real Estate",837309,https://www.crunchbase.com/ipo/anyk-ipo--8a7d317c,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Beijing Jingyeda Technology,https://www.crunchbase.com/organization/beijing-jingyeda-technology,"Beijing, Beijing, China","IT Management, Software",http://www.jyd.com.cn,,,,,1997-01-01,year,"Information Technology, Software",3005,https://www.crunchbase.com/ipo/beijing-jingyeda-technology-ipo--cceec44a,SZSE - Shenzhen Stock Exchange,,,,,,,,
Guomai Technologies,https://www.crunchbase.com/organization/guomai-technologies,"Foochow, Fujian, China","Information Technology, Technical Support, Telecommunications",http://www.gmiot.com,,,,,1996-01-01,day,"Hardware, Information Technology, Other",002093,https://www.crunchbase.com/ipo/guomai-technologies-ipo--be5ece12,SZSE - Shenzhen Stock Exchange,,,,,,,,
Futong Technology,https://www.crunchbase.com/organization/futong-technology,"Wanchai, Guangdong, China","Analytics, Artificial Intelligence (AI), Big Data, Cloud Management, Enterprise Resource Planning (ERP), Enterprise Software, Stock Exchanges",http://www.futong.com.hk,,,,,1996-01-01,year,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Internet Services, Lending and Investments, Science and Engineering, Software",465,https://www.crunchbase.com/ipo/futong-technology-ipo--b1953041,HKG - Hong Kong Stock Exchange,,,,,,,,
AnyMacro,https://www.crunchbase.com/organization/anymacro,"Haidian, Beijing, China","Internet, Messaging, Security",https://www.anymacro.com/,,,,,2004-06-29,day,"Information Technology, Internet Services, Messaging and Telecommunications, Privacy and Security",833150,https://www.crunchbase.com/ipo/anymacro-ipo--2f8667a8,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Insigma Technology,https://www.crunchbase.com/organization/insigma-technology-64eb,"Hangzhou, Zhejiang, China",IT Infrastructure,http://www.insigma.com.cn,,,,,1994-01-08,day,Information Technology,600797,https://www.crunchbase.com/ipo/insigma-technology-64eb-ipo--bc5ab2db,SSE - Shanghai Stock Exchange,,,,,,,,
Deep Blue,https://www.crunchbase.com/organization/deep-blue,"Qingdao Shi, Shandong, China","Big Data, Cloud Computing, Enterprise Resource Planning (ERP), Information Technology, Software",http://www.qingdaodeepblue.com/,,,,,2004-02-19,day,"Data and Analytics, Information Technology, Internet Services, Software",837223,https://www.crunchbase.com/ipo/deep-blue-ipo--f75562bd,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Toyou Feiji Electronics,https://www.crunchbase.com/organization/toyou-feiji-electronics,"Haidian, Beijing, China","Big Data, Data Storage, Information Technology",http://www.toyou.com.cn/,,,,,1998-11-03,day,"Data and Analytics, Hardware, Information Technology, Software",300302,https://www.crunchbase.com/ipo/toyou-feiji-electronics-ipo--5f409158,SZSE - Shenzhen Stock Exchange,,,,,,,,
Montnets,https://www.crunchbase.com/organization/shenzhen-montnets-science-and-technology-development-co-ltd,"Shenzhen, Guangdong, China","Mobile, Network Security, Professional Services",http://www.monternet.com,15000000,CNY,2196434,3,2000-01-01,year,"Information Technology, Mobile, Other, Privacy and Security",002123,https://www.crunchbase.com/ipo/shenzhen-montnets-science-and-technology-development-co-ltd-ipo--8e1822fa,SZSE - Shenzhen Stock Exchange,,,,,,,,
Jinher Network,https://www.crunchbase.com/organization/jinher-network,"Haidian, Beijing, China","Collaboration, Enterprise Software",http://www.jinher.com,,,,,1994-08-01,day,"Other, Software",430024,https://www.crunchbase.com/ipo/jinher-network-ipo--7a3ba1fa,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Xiezhong International Holdings,https://www.crunchbase.com/organization/xiezhong-international-holdings,"Nanjing, Jiangsu, China","Automotive, Heating, Ventilation, and Air Conditioning (HVAC), Manufacturing, Technical Support",http://www.xiezhonginternational.hk/,,,,,2011-09-30,day,"Information Technology, Manufacturing, Other, Real Estate, Transportation",3663,https://www.crunchbase.com/ipo/xiezhong-international-holdings-ipo--ee73a943,HKG - Hong Kong Stock Exchange,,,,,,,,
Holsin Engineering Consulting,https://www.crunchbase.com/organization/holsin-engineering-consulting,"Xiamen, Fujian, China","Industrial Engineering, Management Consulting, Technical Support",http://www.holsin.cn,,,,,1995-10-11,day,"Information Technology, Manufacturing, Other, Professional Services, Science and Engineering",603909,https://www.crunchbase.com/ipo/holsin-engineering-consulting-ipo--26599c13,SSE - Shanghai Stock Exchange,,,,,,,,
Songcheng Performances Development,https://www.crunchbase.com/organization/songcheng-performances-development,"Hangzhou, Zhejiang, China","Information Technology, Virtual Reality",http://www.songcn.com,,,,,1994-09-21,day,"Hardware, Information Technology, Software",300144,https://www.crunchbase.com/ipo/songcheng-performances-development-ipo--67a32f09,SZSE - Shenzhen Stock Exchange,,,,,,,,
GAINET,https://www.crunchbase.com/organization/gainet,"Zhengzhou, Henan, China","Analytics, Big Data, Data Center, Internet",http://www.gainet.com/,,,,,2004-06-14,day,"Data and Analytics, Hardware, Information Technology, Internet Services",832757,https://www.crunchbase.com/ipo/gainet-ipo--9d8cf1d8,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Jiangxi Xinyu Guoke Technology,https://www.crunchbase.com/organization/jiangxi-xinyu-guoke-technology,"Xinyu, Jiangxi, China","Aerospace, Manufacturing, Military",http://www.jx9394.com/,,,,,2008-05-05,day,"Government and Military, Information Technology, Manufacturing, Science and Engineering",300722,https://www.crunchbase.com/ipo/jiangxi-xinyu-guoke-technology-ipo--3adc12d3,SZSE - Shenzhen Stock Exchange,,,,,,,,
CNTECH,https://www.crunchbase.com/organization/cntech-bde7,"Songjiang, Shanghai, China","Aerospace, Information Technology, Simulation",http://www.cntech.com,,,,,2003-11-06,day,"Information Technology, Science and Engineering, Software",838476,https://www.crunchbase.com/ipo/cntech-bde7-ipo--4059269f,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Zhongzhong Technology,https://www.crunchbase.com/organization/zhongzhong-technology,"Tianjin, Guangdong, China","Industrial Manufacturing, Machinery Manufacturing, Productivity Tools",https://www.tjzzjt.com/ ir@tjzzjt.com,,,,,2001-06-26,day,"Manufacturing, Software",603135,https://www.crunchbase.com/ipo/zhongzhong-technology-ipo--e31fc72a,SSE - Shanghai Stock Exchange,1602000000,CNY,232671290,6408000000,CNY,930685160,,
Ruitai Materials Technology,https://www.crunchbase.com/organization/ruitai-materials-technology,"Beijing, Beijing, China","Building Material, CRM, Information Technology, Manufacturing, Real Estate",http://bjruitai.com,,,,,2001-01-01,year,"Information Technology, Manufacturing, Real Estate, Sales and Marketing, Software",002066,https://www.crunchbase.com/ipo/ruitai-materials-technology-ipo--98f1791b,SZSE - Shenzhen Stock Exchange,,,,,,,,
"Xi'an Hengqiang Aviation Technology Co., Ltd.",https://www.crunchbase.com/organization/xi-an-hengqiang-aviation-technology-co-ltd,"Xian Shi, Shaanxi, China","Aerospace, Technical Support, Test and Measurement",http://hengqiangav.com/,,,,,2006-07-19,day,"Data and Analytics, Information Technology, Other, Science and Engineering",870318,https://www.crunchbase.com/ipo/xi-an-hengqiang-aviation-technology-co-ltd-ipo--d2fdf517,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Shanghai Yongguan Adhesive Products Co.,https://www.crunchbase.com/organization/shanghai-yongguan-adhesive-products-co,"Qingpu, Shanghai, China","Industrial Engineering, Retail Technology",http://www.ygtape.cn,,,,,2002-01-28,day,"Commerce and Shopping, Hardware, Manufacturing, Science and Engineering, Software",603681,https://www.crunchbase.com/ipo/shanghai-yongguan-adhesive-products-co-ipo--6544c8c6,SSE - Shanghai Stock Exchange,,,,,,,,
Wise Information Technology,https://www.crunchbase.com/organization/wise-information-technology,"Putuo, Shanghai, China","Data Center, Information Services, Information Technology",http://www.shanghaiwise.com/,,,,,2011-03-29,day,"Hardware, Information Technology",872742,https://www.crunchbase.com/ipo/wise-information-technology-ipo--4bd7e946,NEEQ - National Equities Exchange and Quotations,,,,,,,,
3D WORLD,https://www.crunchbase.com/organization/3d-world,"Mentougou, Beijing, China","3D Printing, 3D Technology, Hardware",http://www.world3d.com.cn/,,,,,2012-06-18,day,"Hardware, Manufacturing, Software",833909,https://www.crunchbase.com/ipo/3d-world-ipo--6bc19cfe,NEEQ - National Equities Exchange and Quotations,,,,,,,,
THT Heat Transfer Technology,https://www.crunchbase.com/organization/tht-heat-transfer-technology,"Siping, Hunan, China","Building Material, Data Integration",http://www.tht.cn/about/qiyejianjie.htm,,,,,1986-01-01,year,"Data and Analytics, Information Technology, Real Estate, Software",THTI,https://www.crunchbase.com/ipo/tht-heat-transfer-technology-ipo--fa8bc3e4,OTC Pink,,,,,,,,
Veichi,https://www.crunchbase.com/organization/veichi-2,"Shenzhen, Guangdong, China","Information Technology, Manufacturing, Virtual Reality",http://www.veichi.org,,,,,2005-07-01,day,"Hardware, Information Technology, Manufacturing, Software",688698,https://www.crunchbase.com/ipo/veichi-2-ipo--a285ac97,SSE - Shanghai Stock Exchange,,,,,,,,
Skillful Craftsman,https://www.crunchbase.com/organization/skillful-craftsman,"Wuxi, Anhui, China","E-Learning, EdTech, Education, Vocational Education",http://www.kingwayup.com/,,,,,2013-06-01,month,"Education, Software",EDTK,https://www.crunchbase.com/ipo/skillful-craftsman-ipo--1e3d7999,NASDAQ,15000000,USD,15000000,62250000,USD,62250000,,
Hinhe,https://www.crunchbase.com/organization/hinhe,"Haidian, Beijing, China","Big Data, Database, Service Industry",http://www.mcu32.com/,,,,,2003-11-24,day,"Data and Analytics, Other, Software",834581,https://www.crunchbase.com/ipo/hinhe-ipo--11555e13,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Gosun Holding,https://www.crunchbase.com/organization/gosun-holding,"Beijing Shi, Beijing, China","Cloud Infrastructure, Information Services, Information Technology",http://www.gosun.com,,,,,1993-03-26,day,"Hardware, Information Technology, Internet Services",000971,https://www.crunchbase.com/ipo/gosun-holding-ipo--995e2ac5,SZSE - Shenzhen Stock Exchange,,,,,,,,
MVS,https://www.crunchbase.com/organization/mvs-c8af,"Changning, Shanghai, China","Cloud Computing, Data Visualization, Information Technology",http://www.mvs.com.cn/,,,,,2004-09-06,day,"Data and Analytics, Design, Information Technology, Internet Services, Software",430630,https://www.crunchbase.com/ipo/mvs-c8af-ipo--addf9edb,NEEQ - National Equities Exchange and Quotations,,,,,,,,
SUNA,https://www.crunchbase.com/organization/suna,"Nantong, Jiangsu, China","Big Data, Cloud Computing, Information Technology, Sales",https://www.sunafin.com/,,,,,2004-10-09,day,"Data and Analytics, Information Technology, Internet Services, Sales and Marketing, Software",002417,https://www.crunchbase.com/ipo/suna-ipo--864a3dc0,SZSE - Shenzhen Stock Exchange,600000000,CNY,87857095,,,,,
Sinosoft Technology,https://www.crunchbase.com/organization/sinosoft-technology,"Nanjing, Jiangsu, China","CRM, Information Technology, Software",http://www.sinosoft-technology.com,,,,,2006-01-01,year,"Information Technology, Sales and Marketing, Software",1297,https://www.crunchbase.com/ipo/sinosoft-technology-ipo--d99a8cf2,HKG - Hong Kong Stock Exchange,,,,,,,,
LEMI,https://www.crunchbase.com/organization/lemi-4c41,"Haidian, Beijing, China","Apps, Software, Web Development",http://www.ilemi.cn/,,,,,2012-11-27,day,"Apps, Software",839603,https://www.crunchbase.com/ipo/lemi-4c41-ipo--72ecd817,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Bozhi,https://www.crunchbase.com/organization/bozhi,"Chengdu, Sichuan, China","Cloud Computing, Enterprise Resource Planning (ERP), Software",https://www.biz-united.com.cn/,,,,,2007-02-01,day,"Internet Services, Software",870739,https://www.crunchbase.com/ipo/bozhi-ipo--a6beb239,NEEQ - National Equities Exchange and Quotations,,,,,,,,
JHBY,https://www.crunchbase.com/organization/jhby,"Beijing, Beijing, China","Simulation, Software, Virtual Reality",http://jhbytech.com/,,,,,2008-05-04,day,"Hardware, Software",871420,https://www.crunchbase.com/ipo/jhby-ipo--251ba7ae,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Sinocan,https://www.crunchbase.com/organization/sinocan,"Baoan, Guangdong, China","Mobile Payments, Payments",http://www.sinocan.com.cn/,,,,,2007-06-06,day,"Financial Services, Mobile, Payments, Software",832212,https://www.crunchbase.com/ipo/sinocan-ipo--a86e1297,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Integrated Electronic Systems Lab,https://www.crunchbase.com/organization/integrated-electronic-systems-lab,"Jinan, Shandong, China","Electronics, Manufacturing, Sales Automation",http://www.ieslab.com.cn,,,,,1984-01-01,day,"Consumer Electronics, Hardware, Information Technology, Manufacturing, Sales and Marketing, Software",002339,https://www.crunchbase.com/ipo/integrated-electronic-systems-lab-ipo--85923246,SZSE - Shenzhen Stock Exchange,,,,,,,,
North Long Dragon New Materials Technology,https://www.crunchbase.com/organization/north-long-dragon-new-materials-technology,"Xian Shi, Shaanxi, China","Manufacturing, Military, Product Research",https://www.longdragon.com.cn/,,,,,2010-03-16,day,"Data and Analytics, Design, Government and Military, Information Technology, Manufacturing",301357,https://www.crunchbase.com/ipo/north-long-dragon-new-materials-technology-ipo--f90d77cf,SZSE - Shenzhen Stock Exchange,,,,,,,,
Jiahuan Technology,https://www.crunchbase.com/organization/jiahuan-technology,"Nanjing, Jiangsu, China","Communications Infrastructure, Corporate Training, IT Management",https://www.bestlink.com.cn,,,,,1998-01-01,year,"Education, Hardware, Information Technology",603206,https://www.crunchbase.com/ipo/jiahuan-technology-ipo--d3938573,SSE - Shanghai Stock Exchange,1109000000,CNY,166354158,,,,,
ShangHai Huahong Jitong Smart System,https://www.crunchbase.com/organization/shanghai-huahong-jitong-smart-system,"Shanghai, Shanghai, China","Business Information Systems, Information Services, Information Technology",http://www.huahong.com.cn,,,,,1997-01-01,day,Information Technology,300330,https://www.crunchbase.com/ipo/shanghai-huahong-jitong-smart-system-ipo--4070669f,SZSE - Shenzhen Stock Exchange,,,,,,,,
Holystar Information Technology,https://www.crunchbase.com/organization/holystar-information-technology,"Shanghai, Shanghai, China","Electronics, Information Technology, Network Security",http://www.holystar.com.cn,,,,,2009-01-01,year,"Consumer Electronics, Hardware, Information Technology, Privacy and Security",688330,https://www.crunchbase.com/ipo/holystar-information-technology-ipo--4056236b,SSE - Shanghai Stock Exchange,,,,,,,,
ValueHD,https://www.crunchbase.com/organization/valuehd,"Shenzhen, Guangdong, China","Audio, Broadcasting, Video Conferencing",http://www.valuehd.com.cn/,,,,,2008-05-29,day,"Hardware, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Music and Audio, Software, Video",871053,https://www.crunchbase.com/ipo/valuehd-ipo--b0d734c7,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Litsoft,https://www.crunchbase.com/organization/litsoft,"Haidian, Beijing, China","Consulting, Enterprise Resource Planning (ERP), Information Technology, Software",https://www.litsoft.com.cn/,,,,,2004-06-02,day,"Information Technology, Professional Services, Software",872036,https://www.crunchbase.com/ipo/litsoft-ipo--de831d75,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Bluedon Information Security Technologies,https://www.crunchbase.com/organization/bluedon-information-security-technologies,"Guangzhou, Guangdong, China","Cyber Security, Industrial, Information Technology",http://bluedon.com ,,,,,2000-05-12,day,"Information Technology, Manufacturing, Privacy and Security",300297,https://www.crunchbase.com/ipo/bluedon-information-security-technologies-ipo--873c63e8,SZSE - Shenzhen Stock Exchange,,,,,,,,
JEE,https://www.crunchbase.com/organization/jee-1ffb,"Hefei, Anhui, China","Automotive, Manufacturing, Sales Automation",http://www.jee-cn.com/en/index.php/welcome.html,,,,,2005-01-18,day,"Information Technology, Manufacturing, Sales and Marketing, Software, Transportation",688162,https://www.crunchbase.com/ipo/jee-1ffb-ipo--9b138f28,SSE - Shanghai Stock Exchange,1576000000,CNY,246670110,,,,,
Trust Alliance Information Development,https://www.crunchbase.com/organization/shanghai-citic-information-development-co-ltd,"Shanghai, Shanghai, China",Enterprise Software,http://www.cesgroup.com.cn,,USD,,1,1997-01-01,year,Software,300469,https://www.crunchbase.com/ipo/shanghai-citic-information-development-co-ltd-ipo--c643f418,SZSE - Shenzhen Stock Exchange,,,,,,,,
