公司简称,工商全称,统一信用代码,官网,一句话简介,公司简介,行业,子行业,省,市,成立时间,运营状态,员工人数,地址,电话,邮箱,团队姓名,职位,融资次数,融资总额(万人民币)
岭南股份,岭南生态文旅股份有限公司,91441900708010087G,http://www.lnlandscape.com/,综合性企业,"岭南股份是一家综合性企业, 生态环境与园林建设、文化与旅游、投资与运营为一体,为用户提供风景园林工程设计、市政公工程施工、旅游策划等服务。",企业服务,综合企业服务,广东,东莞,1998-07,运营中,,东莞市东城街道东源路东城文化中心扩建楼1号楼10楼,0769-220-0888,ln@lingnan.cn,尹洪卫,董事长,,
浩丰科技,北京浩丰创源科技股份有限公司,91110000783967006U,http://www.interact.net.cn/,营销信息化解决方案提供商,浩丰科技是国内营销信息化的理念倡导者和技术领先者，长期致力于通过云计算和商业智能等核心技术，向银行、保险、制造、商业流通与服务、政府及公共事业、高端酒店、内容服务等行业和领域提供具有自主知识产权的营销信息化解决方案，包括联络中心及统一通信平台、营销业务及管理平台、传媒服务及运营平台和相关技术服务。,企业服务,销售营销,北京,石景山区,2005-12,运营中,,北京市石景山区八角东街65号融科创意中心大厦A座11层,010-8887-8800,haofeng@interact.net.cn,高慷,董事长,,
安控科技,北京安控科技股份有限公司,91110000633710213T,http://www.etrol.com/,智慧产业解决方案及产品提供商,安控科技是一家智慧产业解决方案及产品提供商，主要提供自动化、油气服务、智慧产业等业务领域产品及解决方案，包括DCS、功能安全RTU、模块化RTU、一体化RTU等。,企业服务,行业信息化及解决方案,北京,海淀区,1998-09,运营中,,北京市海淀区地锦路9号院6号楼,010-6297-1668,etrol@etrol.com,徐辉,董事长,,
诚益通,北京诚益通控制工程科技股份有限公司,91110000752630339B,http://www.ctntech.com/,生物行业自动化系统整体解决方案提供商,诚益通是国内专业的医药、生物行业自动化系统整体解决方案提供商。公司坐落于北京中关村永丰高科技园区，在北京昌平、江苏盐城设有生产基地，是生物产业自动化控制工程行业的领军企业。,企业服务,行业信息化及解决方案,北京,大兴区,2003-07,运营中,,北京市大兴区中关村科技园区大兴生物医药产业基地永大路38号6幢4层,010-8928-7888,xingzhengbu@eastctn.com,梁学贤,董事长,,
建研院,苏州市建筑科学研究院集团股份有限公司,91320500466948434Y,http://www.szjkjt.com/,建筑行业技术研究与应用服务提供商,建研院是一家建筑行业技术研究与应用服务提供商，该公司的业务包括建筑改造、建筑垃圾综合利用、建筑的工业化等领域的研究，同时公司的研究内容还包括能耗监测、建筑结构胶粘剂、改性沥青防水卷材等，并为用户提供建筑行业的一体化解决方案。,企业服务,行业信息化及解决方案,江苏,苏州,1990-03,运营中,,苏州市吴中经济开发区越溪街道吴中大道1368号3幢,0512-6736-0233,,吴小翔,董事长兼总经理,,
乐凯新材,航天智造科技股份有限公司,911306057713196269,http://www.luckyfilm.com.cn/,信息记录产业系统服务商,乐凯新材料是一家具有六十多年历史的改制转型的国有控股上市公司，隶属于中国航天科技集团公司下属的中国乐凯集团有限公司，是当前国内信息记录材料行业中同时从事磁记录和热敏记录材料领域的龙头企业。,企业服务,行业信息化及解决方案,河北,保定,2005-02,运营中,,河北保定乐凯南大街6号,,,,,,
中孚信息,中孚信息股份有限公司,913700007357889006,http://www.zhongfu.net/,信息安全解决方案提供商,中孚信息是一家信息安全解决方案提供商，专注于安全保密技术、商用密码技术、云安全技术和移动终端安全技术等领域，为用户提供了全系列的安全产品和面向分级保护、等级保护等党政内网的行业应用解决方案。,企业服务,企业安全,山东,济南,2002-03,运营中,,济南市高新区新泺大街1166号奥盛大厦2号楼15-16层,0531-6659-0089,xuyanying@zhongfu.net,魏东晓,董事长兼总经理,,
京天利,江西天利科技股份有限公司,91110000785541009C,http://www.ihandy.cn/,行业移动信息系统解决方案提供商,"京天利是一家行业移动信息系统解决方案提供商，主要为大中型集团用户提供移动信息应用整体解决方案，涵盖定制开发、业务集成、运营支撑和用户关系管理等服务，帮助集团用户向其用户提供以短信彩信应用、云服务平台为主的移动信息服务。
",企业服务,行业信息化及解决方案,北京,石景山区,2006-01,运营中,,北京市石景山区实兴大街30号院6号楼901室,010-5755-1169,wangmengmeng@ihandy.cn,邝青,董事长,,
中设集团,华设设计集团股份有限公司,91320000780270414F,http://www.jsjty.com/,工程设计咨询公司,中设设计集团股份有限公司是一家工程设计咨询公司，提供道路、桥梁、隧道、铁路、轨道、港口、航道、船闸、工业与民用建筑、环境、景观、智能交通的规划、咨询、勘察、设计、科研、试验检测、监理和项目管理等相关领域的工程咨询服务。,企业服务,销售营销,江苏,南京,2005-08,运营中,,南京市秦淮区紫云大道9号,025-8801-8888,ir@jsjty.com,杨卫东,董事长,,
华铁应急,浙江华铁应急设备科技股份有限公司,91330000682900435M,http://www.zjhuatie.cn/,城市运行设备租赁运营及项目方案设计,华铁应急是一家以城市运行设备租赁、运营及项目方案设计的综合平台服务商，致力于通过大数据、物联网等技术运用实现租赁行业互联网化、数字化、智能化，提升设备运行及服务效率，用数据及科技赋能行业，打造优质服务平台，形成围绕设备租赁的全生态服务体系。,企业服务,行业信息化及解决方案,浙江,杭州,2008-11,运营中,,浙江省杭州市江干区胜康街68号华铁创业大楼,0571-8603-6777,admin@zjhuatie.cn,胡丹锋,董事长,,
普路通,深圳市普路通供应链管理股份有限公司,91440300783905518J,http://www.prolto.com/,企业供应链方案设计及优化商,普路通是专业为企业提供涵盖供应链方案设计及优化、采购分销、库存管理、资金结算、通关物流以及信息系统配套支持等环节的一体化供应链管理服务商。,企业服务,行业信息化及解决方案,广东,深圳,2005-12,运营中,,深圳市福田区深南大道1006号深圳国际创新中心A栋21楼,0755-8287-7543,hr@prolto.com,陈书智,董事长,,
中达安,中达安股份有限公司,914400007080735472,http://www.sino-daan.com/,工程咨询服务商,中达安是一家专业从事以工程监理业务为主的全过程工程咨询服务商，具备通信工程监理甲级、房屋建筑工程监理甲级、市政公用工程监理甲级、机电安装工程监理甲级、水土保持监理乙级、机电及金属结构设备制造甲级、水利工程建设环境保护等多项资质资格。,企业服务,销售营销,广东,广州,2000-08,运营中,,广东省广州市白云区广州大道北1421号602房,020-3885-8589,daan@gddaan.com,吴君晔,董事长,,
海量数据,北京海量数据技术股份有限公司,911101086656289355,http://www.vastdata.com.cn/,数据技术服务和解决方案提供商,海量数据是一家数据技术服务和解决方案提供商，主要针对大中型企事业单位的数据中心，搭建IT基础设施数据平台，并提供数据存储与安全、数据库与数据管理、云计算 等方面的解决方案和技术服务，业务涵盖数据技术的产品研发、技术支持和教育培训等领域。,企业服务,数据服务,北京,海淀区,2007-07,运营中,,北京市海淀区学院路30号科大天工大厦B座6层01室,010-8283-8118 ,licz@vastdata.com.cn,闫忠文,董事长,,
威星智能,浙江威星智能仪表股份有限公司,913301007792565355,http://www.viewshine.cn/,智能计量终端及燃气管理系统研发商,威星智能是一家智能计量终端及燃气管理系统研发商，产品涵盖IC卡智能终端、基于RF和基于物联网的智能计量终端、超声波计量仪表和“燃气云”信息管理平台等，并提供无线远传、输差控制、IC卡预付费等解决方案。,企业服务,行业信息化及解决方案,浙江,杭州,2005-08,运营中,,杭州市拱墅区莫干山路1418-41号6号楼,0571-8817-9010 , zongcaiban@viewshine.cn,黄文谦,董事长,,
可立克,深圳可立克科技股份有限公司,914403007576217064,https://www.clickele.com,磁性元件和电源技术解决方案供应商,可立克是全球著名的磁性元件和电源技术解决方案供应商。坚持稳健经营、持续创新、开放合作，在变压器、磁性元件和开关电源领域，我们积累了核心的设计研发和生产制造技术优势，为行业客户提供有竞争力磁性元件和电源产品方案。,企业服务,行业信息化及解决方案,广东,深圳,2004-03,运营中,,深圳市宝安区福永镇桥头社区正中工业园7栋,0755-2991-8117,sales@clickele.com,肖铿,董事长,,
熙菱信息,新疆熙菱信息技术股份有限公司,91650100298827325R,http://www.sit.com.cn/,公共安全解决方案提供商,"熙菱信息是一家公共安全解决方案提供商，依托视频图像处理、业务建模、旁路数据采集等核心技术，为用户提供细分产品、解决方案和大数据服务,并为用户提供""Merlineye""魔力眼智慧安防系列和""SNAM""业务安全审计系列两大产品，广泛应用于公安、司法、交通等领域。",企业服务,企业安全,新疆,乌鲁木齐,1999-07,运营中,,新疆乌鲁木齐市高新区北京南路358号大成国际大厦10层,0991-557-3602,luxx@sit.com.cn,何开文,董事长,,
国检集团,中国建材检验认证集团股份有限公司,91110000101123421K,http://www.ctc.ac.cn/,第三方检验服务提供商,"国检集团是一家第三方检验服务提供商，主要从事建筑材料和建设工程领域的检验服务,包括检验检测、认证业务、安全服务、仪器研发等,用户包括建筑材料生产及流通企业、建设工程建设及施I单位等。",企业服务,科研和社会服务,北京,朝阳区,1984-10,运营中,,北京市朝阳区管庄东里1号科研生产区南楼 ,010-5116-7681,qyglb@ctc.ac.cn,姚燕,董事长,,
科大国创,科大国创软件股份有限公司,91340100723329328P,http://www.kdgcsoft.com/,软件产品研发及IT综合解决方案提供商,"科大国创是一家行业软件产品研发及IT综合解决方案提供商 ,专业从事信息领域的技术研究与产品开发,面向大型行业提供信息化建设与咨询服务、应用软件开发与服务等, 是中国信息技术产品研发与整体解决方案领先供应商。",企业服务,企业IT服务,安徽,合肥,2000-11,运营中,,合肥市高新区文曲路355号,0551-6539-6700,wangjinping@ustcsoft.com,董永东,董事长,,
维宏股份,上海维宏电子科技股份有限公司,91310000662437084H,https://www.weihong.com.cn/,运动控制系统解决方案提供商,"维宏股份是一家运动控制系统解决方案提供商 ,专注于专注于运动控制系统研发、销售和服务,自主研发的雕刻雕铣控制系统、切割控制系统、机械手控制系统、驱动器控制系统等,已广泛应用于模具制造、金属切削、金属高光加工、3C玻璃精密加工、板式家具切割等领域。",企业服务,行业信息化及解决方案,上海,奉贤区,2007-06,运营中,,上海市奉贤区沪杭公路1590号,021-3358-7550,,汤同奎,董事长,,
万兴科技,万兴科技集团股份有限公司,91540195754285145H,http://www.wondershare.com/,PC应用和移动互联网应用,万兴科技深耕数字创意软件领域，推出万兴喵影、万兴优转、万兴录演等视频创意软件，Wondershare Filmstock、万兴喵库视频创意素材平台，万兴爱画、万兴播爆等AIGC应用；此外面向全球市场还推出万兴图示、万兴脑图MindMaster、墨刀等绘图创意软件，万兴PDF、Wondershare PDFelement等文档创意软件，万兴恢复专家、万兴数据管家、万兴易修等实用工具软件。,企业服务,行业信息化及解决方案,广东,深圳,2003-09,运营中,,深圳市南山区海天二路14号软件产业基地5栋D座10楼,0755-8666-5000,media.cn@wondershare.cn,吴太兵,创始人,,
莱伯泰科,北京莱伯泰科仪器股份有限公司,911100006000953578,http://www.labtechgroup.com/,分析测试解决方案企业,莱伯泰科是一家专业的，为食品安全、环境检测、疾病控制和材料分析等分析化学实验室提供从样品前处理到分析测试解决方案的国际化企业。公司集产品研发、生产、销售和服务为一体，国际和国内为一体。主要产品包括无机和有机分析样品前处理产品，实验室冷却、加热和温控产品，分析仪器，实验室信息管理软件，实验室设计和建设解决方案等。,企业服务,行业信息化及解决方案,北京,顺义区,2002-01,运营中,,北京空港工业区B区安庆大街6号,010-8048-6450,labtech@labtechgroup.com,胡克,董事长,,
恒锋信息,恒锋信息科技股份有限公司,9135010026017703XW,http://www.i-hengfeng.com/main.html,信息技术服务提供商,恒锋信息是一家信息技术服务提供商，专注于智慧城市、数据中心和计算机信息系统，向民生、公共安全、城市服务等领域用户提供规划设计、软件&创新研发、系统集成、管理运维服务。,企业服务,企业IT服务,福建,福州,1995-10,运营中,,福建省福州市鼓楼区乌山西路318号洪山科技园创业中心大厦,0591-8773-2133,869998383@qq.com,魏晓曦,董事长,,
海联讯,杭州海联讯科技股份有限公司,914403007152459096,http://www.hirisun.com/,电力企业综合整体解决方案提供商,海联讯是一家从事电力信息化系统集成业务的国家高新技术企业。本公司面向电力企业，以提供综合性整体解决方案的形式，从事电力企业信息化建设业务，并提供相关的技术及咨询服务。本公司提供的产品和服务可广泛应用于电力行业产业链发电、输电、变电、配电、用电和调度等各个环节，全面提升用户信息化水平，为客户创造价值。,企业服务,企业IT服务,广东,深圳,2000-01,运营中,,深圳市南山区深南大道市高新技术园R2厂房B区3a层,0755-2697-2918,zxp@hirisun.com,王天青,董事长,,
矩子科技,上海矩子科技股份有限公司,91310000667825748L,http://www.jutze.com.cn/cn/,视觉检测设备研发商,矩子科技是主要研发生产自动光学检测系统的高科技企业，公司自主研发的基于光学原理来对表面贴装后印刷线路板的外观不良进行检测。公司产品技术处于国际领先水平，实现进口替代；系列产品广泛应用于消费类电子，通信终端设备，电脑及周边设备，家用电器，工业控制，汽车电子等领域。主要客户是SMT生产厂商，如夏普、TCL、长虹、富士康、诺基亚、达丰、PC Partner等。,企业服务,科研和社会服务,上海,闵行区,2007-11,运营中,,上海市闵行区中春路7001号明谷科技园E栋101-102室,021-3468-7800,yanwen.ge@jutze.com.cn,,,,
浪潮信息,浪潮电子信息产业股份有限公司,91370000706266601D,,计算平台与IT应用方案解决提供商,浪潮信息是一家计算平台与IT应用方案解决提供商，为用户提供服务器，行业应用软件，ERP等软件产品。,企业服务,企业IT服务,山东,济南,1998-10,运营中,,济南市浪潮路1036号,,hanyue.lc@inspur.com,,,,
怡合达,东莞怡合达自动化股份有限公司,91441900566614589Q,http://www.yiheda.com,工业自动化零部件采购平台,"怡合达是一家工业自动化零部件采购平台,为用户提供机械标准零件、气动元件、检测用零件、马达驱动、电气控制零件等十余种大类的零部件产品,同时提供非标自动化智能设备整机解决方案。",企业服务,行业信息化及解决方案,广东,东莞,2010-12,运营中,,东莞市虎门镇北栅东坊工业区,0769-8888-6777 ,service@yiheda.com,金立国,董事长,,
数字认证,北京数字认证股份有限公司,91110108722619411A,http://www.bjca.org.cn/,息安全解决方案提供商,数字认证是一家息安全解决方案提供商，主要业务为电子认证服务、电子认证产品及可管理的信息安全服务。具有工业和信息化部颁发的电子认证服务许可证资质，国家密码管理局颁发的商用密码销售、使用许可资质和电子政务电子认证服务许可资质、卫生系统电子认证服务资质的电子认证服务商,企业服务,行业信息化及解决方案,北京,海淀区,2001-02,运营中,,北京市海淀区北四环西路68号1501号;北京市海淀区北四环西路68号1501号 ,010-5804-5600 ,bjcaxh@bjca.org.cn,林雪焰,总经理,,
瑞特股份,常熟市国瑞科技股份有限公司,9132050062822013XT,http://www.cn-ruite.com/,船舶电系统集成解决方案提供商,"瑞特股份是一家船舶电系统集成解决方案提供商，专注于为船舶提供中、低压配电系列、电力电子系列,自动化管理系统系列、自动化设备及控制装置系列,船用断路器、加固计算机及可穿戴设备,并为用户提供船舶电气成套系统集成解决方案与售后服务。",企业服务,行业信息化及解决方案,江苏,苏州,1993-02,运营中,,常熟市虞山镇高新技术产业园青岛路2号,0512-5234-5677,sz@cs-ruite.com,龚瑞良,董事长兼总经理,,
宝兰德软件,北京宝兰德软件股份有限公司,911101086738170589,https://www.bessystem.com/,基础设施软件研发及推广服务提供商,宝兰德软件是一家基础设施软件研发及推广服务提供商，是一家专注于基础软件研发及推广的高新技术软件企业。宝兰德产品线已经覆盖到了基础软件领域的中间件、容器PaaS平台、智能运维和大数据等多个方向。,企业服务,企业IT服务,北京,海淀区,2008-03,运营中,,北京市海淀区上地六街17号6314室,4006-501-976,donghui.zhang@bessystem.com,易存道,董事长,,
威胜信息,威胜信息技术股份有限公司,91430100760727392G,http://www.willfar.com/,用能信息采集系统提供商,威胜信息是一家用能信息采集系统提供商，以信息采集、分析、处理为技术入口，通过智能终端等软、硬件产品为用户提供用能信息采集系统集成及服务，此外还依托旗下子公司为用户提供水、气、热等能源计量、集抄、监测产品，以及计量芯片、GPRS无线模块、MCU等产品。,企业服务,数据服务,湖南,长沙,2004-05,运营中,,湖南省长沙高新技术产业开发区桐梓坡西路468号,0731-8861-9666,export@willfar.com,吉喆,董事长,,
中国电器院,中国电器科学研究院股份有限公司,91440101100006899U,http://www.cei1958.com/,电器创新与应用研究机构,中国电器院是一家电器创新与应用研究机构，拥有科研开发、科技服务、科技产业三大核心业务板块，其中科研开发业务板块拥有国家级科技研发平台，涵盖能源科学、材料科学、工程科学等领域；科技服务业务板块（CVC威凯）能够为企业提供包括研发、标准制修订、检测、体系认证、产品认证、设备计量校准等质量控制领域的整体解决方案。,企业服务,行业信息化及解决方案,广东,广州,2002-09,运营中,,广州市海珠区新港西路204号第1栋,0208-905-0855,jinzx@cei1958.com,秦汉军,董事长,,
天瑞仪器,江苏天瑞仪器股份有限公司,913205007899341254,http://www.skyray-instrument.com,行业整体解决方案提供商,天瑞仪器是一家行业整体解决方案提供商，为环境保护与安全、工业测试与分析及其它领域提供专业解决方案，同时为电子、电器、珠宝、玩具、食品、建材、冶金、地矿、塑料、石油、化工、医药等众多行业提供更为完善的行业整体解决方案。,企业服务,行业信息化及解决方案,江苏,苏州,2006-07,运营中,,昆山市中华园西路1888号,0512-5701-7888 , sales@skyray-instrument.com,刘召贵,董事长,,
迪威视讯,深圳市迪威迅股份有限公司,91440300732061351F,http://www.dvision.cn,产品及解决方案提供商,迪威视讯是一家产品及解决方案提供商，为园区提供规划、设计、实施、运营的一体化服务，为用户提供产品及解决方案。业务领域涵盖：智慧教育，智慧管廊，智慧安防，视频会议，智慧安监，激光显示，网格化管理等领域。,企业服务,行业信息化及解决方案,广东,深圳,2001-09,运营中,,深圳市南山区西丽街道茶光路1089号深圳集成电路设计应用产业园306-1、306-2、307-2室,0755-8657-3381 , dvision@dvision.cn,季刚,总经理,,
中南e行,湖南科创信息技术股份有限公司,91430100183899441P,http://www.chinacreator.com/cn/,信息化综合服务提供商,中南e行是国内智慧政务及智慧企业领域的信息化综合服务提供商，主要致力于为政企客户提供集软件开发、系统集成、IT运维等于一体的信息化综合解决方案。,企业服务,行业信息化及解决方案,湖南,长沙,1998-01,运营中,,湖南省长沙市岳麓区青山路678号-科创软件园,0731-8375-7888,creator@chinacreator.com,费耀平,董事长,,
好运宝,上海豫园旅游商城（集团）股份有限公司,91310000132200223M,http://www.yuyuantm.com.cn/yuyuan/cn/index/,商业经营、投资平台,"好运宝是一个门店管理应用软件，可实现在线查看订单、授信等信息，给加盟商推送订货会资讯，有商品销售、逾期罚金、预收贴牌费、贴牌费等功能，是上海豫园旅游商城股份有限公司旗下产品。
",企业服务,其他企业服务,上海,黄浦区,1987-11,运营中,,上海市文昌路19号,021-2302-9999,obd@yuyuantm.com.cn,徐晓亮,董事长,,
新城市,深圳市新城市规划建筑设计股份有限公司,914403002795212083,http://www.nlt.com.cn/,城市建设领域系统化全程解决平台,新城市是一家城市规划建设服务商，旗下业务包括城市规划、建筑设计、市政设计、综合交通规划、低碳城市建设规划、风景园林设计、土地整备与综合开发咨询等服务。,企业服务,行业信息化及解决方案,广东,深圳,1993-03,运营中,,深圳市龙岗区中心城清林中路39号新城市大厦10-12F,0755-3383-9999,nlt@163.net,,,,
赛迪顾问,赛迪顾问股份有限公司,91110000722619729C,http://www.ccidconsulting.com/,数据分析库,赛迪顾问股份有限公司（简称“赛迪顾问”）提供区域发展、城市战略、产业规划、园区运营、 行业研究、企业战略、管理创新、上市服务、投资策略、投资并购、数字城市建设等现代咨询服务，研究领域涵盖数字经济、工业经济、电子信息、软件和信息服务、人工智能、大数据、集成电路、物联网、智能制造、高端装备、新材料、智能网联汽车、节能环保、医药健康等多个行业领域。赛迪顾问致力于成为全球知名的城市经济第一智库、企业战略第一顾问、资本运作第一专家、智慧城市第一品牌。,企业服务,行业信息化及解决方案,北京,昌平区,2001-03,运营中,,北京市昌平区振兴路28号2号楼311室, 010-8855-9008 , wunan@ccidconsulting.com,赵泽明,董事长,,
蜂助手,蜂助手股份有限公司,914401015895112324,http://www.phone580.com,数字化虚拟商品的综合服务提供商,蜂助手定位为数字化虚拟商品的综合服务提供商，以虚拟商品的综合运营为基础，以赋能行业应用，助力行业APP“拉新、促活、提升GMV”为出发点，建立跨行业的渠道融合运营模式，建立入口型、生态型的渠道运营体系；坚持以“物联网IOT解决方案(流量运营+解决方案)、云终端整体技术解决方案”为公司两大核心技术产品的研发方向。,企业服务,行业信息化及解决方案,广东,广州,2012-01,运营中,,广州市天河区黄埔大道中660号汇金国际金融中心B栋9楼,020-3238-2352,,,,,
富通科技控股,富通科技发展控股有限公司,,http://www.futong.com.hk/c/index.html,企业信息化管理解决方安提供商,"富通科技创立于1996年，总部位于北京，并在香港、上海、广州、深圳、成都等二十余个城市设有分支机构及呼叫中心。2009年12月，富通科技发展控股有限公司于香港联合交易所主板成功上市，股票代码:00465.hk。
富通科技凭借20余年的企业级行业经验与强大的研发创新能力，广泛采用云计算、大数据、人工智能等新兴技术，为政府、金融、零售、交通、能源、制造、医疗、电信、媒体等行业客户提供丰富的数字化科技产品、解决方案及专业IT服务。",企业服务,行业信息化及解决方案,香港,湾仔区,2009-07,运营中,, 香港湾仔港湾道30号新鸿基中心24楼2406至2412室,00852-2622-2428,contact@futong.com.hk,,,,
中国赛特,中国赛特集团有限公司,,http://www.chinasaite.com.cn/html/index.php,钢结构及预制构件建筑解决方案提供商,"中国赛特是一家钢结构及预制构件建筑解决方案提供商，专注于从事建筑结构工程的设计与承包业务，具体涉及住宅房屋、商业楼宇、工业大厦、厂房及公共设施等领域。
",企业服务,行业信息化及解决方案,香港,中西区,2012-09,运营中,,,052-2126-7434,,,,,
清科创业,清科管理顾问集团有限公司,911101057825021009,http://www.zero2ipo.com.cn/,股权投资服务平台,清科集团业务始于二零零一年，是中国领先的创业与投资综合服务平台及知名投资机构。清科集团业务包括研究咨询、数据产品、信息资讯、会议论坛、投资培训、投资银行、产业集聚、直接投资、母基金管理及资产管理。,企业服务,创业服务,北京,朝阳区,2005-11,运营中,,北京市朝阳区霄云路40号院1号楼国航世纪大厦10层1001室,010-6415-8500,editor@zero2ipo.com.cn,倪正东,创始人,,
先锋电子,杭州先锋电子技术股份有限公司,913300001430594726,http://www.innover.com.cn/,提供系统集成服务和终端系列产品,先锋电子提供系统集成服务和终端系列产品。公司的主营业务是为燃气行业提供“城市燃气智能计量网络收费系统”的整体解决方案及与之配套的智能燃气表等终端产品的研发、生产和销售。公司的主要产品为全系列民用智能燃气表、工商用智能燃气表及为客户提供智能网络收费平台软件。公司旗下运营锋云慧APP。,企业服务,行业信息化及解决方案,浙江,杭州,1991-01,运营中,,杭州市滨江区滨安路1186-1号,0571 - 8679-1555,webmast@innover.com.cn,石扬,总经理,,
新大陆,新大陆数字技术股份有限公司,91350000154586155B,http://www.newlandcomputer.com/,专注物联网领域,新大陆专注物联网领域，聚焦条码识别和电子支付两个领域，通过内部整合资源和外延并购扩展两条路径，实现从硬件提供商到系统方案提供商，从业务运营合作方到数据运营合作方转变。公司旗下运营联营伙伴APP。,企业服务,行业信息化及解决方案,福建,福州,1999-06,运营中,,福建省福州市马尾区儒江西路1号新大陆科技园,0591-8397-9333,linyongc@newlandcomputer.com,王晶,董事长,,
易标准,北京三维天地科技股份有限公司,91110108101880422A,http://www.sunwayworld.com/,数据标准服务APP,易标准，为用户提供各种标准的数据服务。该软件由北京三维天地科技有限公司开发。,企业服务,数据服务,北京,丰台区,1995-07,运营中,,北京市丰台区海鹰路6号院总部国际一期12号楼,010-5225-0988,liml@sunwayworld.com,金震,CEO,,
明源云,深圳市明源云科技有限公司,91440300755689061Y,https://www.mingyuanyun.com/,地产生态链智能商业服务商,明源云是一家领先的地产生态链智能商业服务商，致力于让地产生态链更智慧。明源云提供企业级ERP解决方案及SaaS产品，致力于推动中国房地产行业的数字化转型，包括销售及营销、采购、成本管理、项目管理、预算以及房地产资产管理等。,企业服务,行业信息化及解决方案,广东,深圳,2003-11,运营中,,深圳市南山区高新南一道中科大厦24楼,0755-8630-9788,mingyuanyun@mingyuanyun.com,高宇,创始人,,
大东方,无锡商业大厦大东方股份有限公司,91320200703514737E,http://www.eastall.com/,致力于消费领域的经营和服务,大东方致力于消费领域的经营和服务，形成三个核心消费领域：百货零售、汽车销售与服务、食品与餐饮。百货领域定位于中高端精品百货的销售与服务，主要为满足消费者的个性化、高端化商品需求。汽车领域定位于规模化的汽车销售及服务。食品领域通过江南美食与餐饮文化的推广，持续打造优质老字号企业的品牌。公司旗下运营千积变APP。,企业服务,综合企业服务,江苏,无锡,1998-01,运营中,,无锡市梁溪区中山路343号,0510-8276-6978,ddf009@eastall.com,高兵华,董事长,,
神州控股,神州数码控股有限公司,,http://www.dcholdings.com/,整合IT服务商,神州控股是一家整合IT服务商，专注于为用户提供端到端的整合IT服务，服务涉及IT规划咨询、IT基础设施系统集成、解决方案设计与实施、应用软件设计及开发以及IT系统运维外包等领域。,企业服务,企业IT服务,香港,东区,2000-01,运营中,,香港特别行政区鲗鱼涌英皇道979号太古坊德宏大厦20层2008室,852-3416-8000,,,,,
贝通信,中贝通信集团股份有限公司,9142010317784054XA,http://www.whbester.com/index.whbs,通信网络技术服务提供商,贝斯特集团是一家通信网络技术服务提供商，主要为用户提供通信网络建设、通信与信息化集成、通信网络优化与维护、通信网络规划与设计等服务。,企业服务,企业IT服务,湖北,武汉,1999-12,运营中,,武汉市江汉经济开发区江兴路25号 C栋,027-8351-0888 ,,,,,
昆明机床,沈机集团昆明机床股份有限公司,91530000622602196M,http://www.kmtcl.com.cn/,机床制造商,昆明机床是一家机床制造商，公司主要生产龙门镗铣床、卧式铣镗床、数控刨台卧式铣镗床、单柱坐标镗床、FMS柔性生产线以及功能零部件等，同时公司还提供技术支持和技术咨询等业务。,企业服务,行业信息化及解决方案,云南,昆明,1995-10,运营中,,云南省昆明市盘龙区茨坝路23号,,,王鹤,董事长,,
曙光数创,曙光数据基础设施创新技术（北京）股份有限公司,911101087351280057,http://www.sugonenergy.com/,数据中心整体解决方案供应商,曙光数创是一家以制冷技术为核心的数据中心整体解决方案供应商，主要提供液态冷却产品、机房空调产品、机房温湿度控制产品、机房微模块产品研究及软件开发、系统集成和技术服务，为科研院所、军工、教育、医疗等领域用户提供数据中心全生命周期建设服务。,企业服务,企业IT服务,北京,海淀区,2002-01,运营中,,北京市海淀区东北旺西路8号院36号楼5层528室,010-5841-8598,chenzhj_jn@sugon.com,史新东,董事长,,
蕾奥规划,深圳市蕾奥规划设计咨询股份有限公司,914403006748035555,http://www.lay-out.com.cn/,城市规划设计及相关研究咨询服务商,蕾奥股份主营城市规划设计及相关研究咨询服务，产品或服务在与同行业客户竞争的过程中，既要满足行业各类技术法规和规则的要求，又要满足客户多元化的个性需求，公司能否产出较高质量的产品或服务，在很大程度上直接取决于公司专业人才的规划设计灵感创意、专业知识以及项目经验的积累，公司是否具备高素质的规划设计人才，决定了公司是否能够持续获得客户订单、增加销售收入、提升盈利能力。,企业服务,企业IT服务,广东,深圳,2008-05,运营中,,深圳市福田区下梅林一街1号汉沣楼第四、五层（仅限办公）,0755-2396-5209,layout@lay-out.com.cn,王富海,董事长,,
中科曙光,曙光信息产业股份有限公司,91120000783342508F,https://www.sugon.com/,软件开发和系统集成服务提供商,中科曙光是软件开发和系统集成服务提供商，主要从事研究、开发、生产制造高性能计算机、通用服务器及存储产品，并围绕高端计算机提供软件开发、系统集成与技术服务。旗下产品包括服务器产品、安全产品、存储产品、云计算产品等，可应用于电信、医疗卫生、金融、石油等行业。,企业服务,开发者服务,天津,和平区,2006-03,运营中,,华苑产业区（环外）海泰华科大街15号1-3层,,,李国杰,董事长,,
国子软件,山东国子软件股份有限公司,913701007600280302,http://www.googosoft.com/,应用软件产品研发和行业解决方案提供商,国子软件是一家应用软件产品研发和行业解决方案提供商，专注于面向教育领域提供各类学校和教育主管部门的教育教学管理解决方案，同时致力于电子文件和数字档案管理的研究，开发出了电子文件管理系统、数字档案管理系统、OA系统等产品。,企业服务,行业信息化及解决方案,山东,济南,2004-03,运营中,,山东省济南市高新技术产业开发区齐鲁文化创意基地5号楼4单元,0531-89701712,gzsmkj@163.com,韩承志,总经理,,
